meter_name,read_at,unit,value
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,24/09/2020 00:00:00 +1000,kWh,23.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,25/09/2020 00:00:00 +1000,kWh,25.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,26/09/2020 00:00:00 +1000,kWh,14.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,27/09/2020 00:00:00 +1000,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,28/09/2020 00:00:00 +1000,kWh,20.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,29/09/2020 00:00:00 +1000,kWh,22.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,30/09/2020 00:00:00 +1000,kWh,23.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,01/10/2020 00:00:00 +1000,kWh,20.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,02/10/2020 00:00:00 +1000,kWh,23.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,03/10/2020 00:00:00 +1000,kWh,15.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,04/10/2020 00:00:00 +1000,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,05/10/2020 00:00:00 +1100,kWh,23.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,06/10/2020 00:00:00 +1100,kWh,20.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,07/10/2020 00:00:00 +1100,kWh,24.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,08/10/2020 00:00:00 +1100,kWh,25.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,09/10/2020 00:00:00 +1100,kWh,21.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,10/10/2020 00:00:00 +1100,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,11/10/2020 00:00:00 +1100,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,12/10/2020 00:00:00 +1100,kWh,22.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,13/10/2020 00:00:00 +1100,kWh,22.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,14/10/2020 00:00:00 +1100,kWh,26.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,15/10/2020 00:00:00 +1100,kWh,19.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,16/10/2020 00:00:00 +1100,kWh,22.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,17/10/2020 00:00:00 +1100,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,18/10/2020 00:00:00 +1100,kWh,0.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,19/10/2020 00:00:00 +1100,kWh,25.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,20/10/2020 00:00:00 +1100,kWh,24.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,21/10/2020 00:00:00 +1100,kWh,25.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,22/10/2020 00:00:00 +1100,kWh,11.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,23/10/2020 00:00:00 +1100,kWh,1.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,24/10/2020 00:00:00 +1100,kWh,0.6
